,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for two people)
4439,Paranthas and Dosas,0,No,3.7 out of 5,"Aloo Paratha, Masala Dosa, Coffee, Dahi Vada, Paneer Parantha, Sweet Lassi, Mix Veg Parantha",400
4440,Arirang Korean Restaurant,0,Yes,4.0 out of 5,"Chicken Gimbap, Sushi, Kimchi, Bulgogi, Beef Bibimbap, Sea Food, Wine","1,400"
4441,Al-Badia Restaurant,0,No,4.2 out of 5,"Baklava, Arabic Cuisine, Mutton Mandi, Shawarma Roll, Arabian Kebab",700
4442,Al Amanah Cafe,1,No,4.4 out of 5,"Rolls, Jumbo Chicken Roll, Falafel Roll, Chicken Kudu Roll, Mutton Roll, Shawarma, Spicy Roll",300
4443,Burger King,1,No,3.9 out of 5,"Burgers, Fries, Mutton Whopper, Chicken Grill, Mango Shake, Chicken Whopper, Chocolate Milkshake",600
4444,KFC,1,No,3.1 out of 5,"Hot Wings, Crispy Chicken, Popcorn Chicken, Rice Bowl, Rice Bowls, Zinger Burger",450
4445,McDonald's,1,No,2.9 out of 5,"Burgers, Fries, Mc Chicken, Mc Veggie Burger",500
4446,Pecos Mojo,0,No,4.0 out of 5,"Beer, Beef Chilli","1,100"
4447,Biriyani House,1,No,3.8 out of 5,Biryani,600
4448,Pooja Dosa Camp,0,No,4.0 out of 5,"Podi Dosa, Vada, Pongal, Ghee Dosa, Masala Dosa, Coffee",200
4449,Mayonaise,1,No,3.8 out of 5,"Chicken Fries, Burgers, Zinger Burger",500
4450,Srinidhi Upachar,0,No,3.6 out of 5,"Coffee, Vada, Masala Dosa, Gulab Jamun",200
4451,New Salem Spices,0,No,3.5 out of 5,"Chicken Biryani, Chicken Thali",600
4452,The Sky Lounge - Tamarind Hospitality,0,No,3.7 out of 5,"Momos, Biryani, Beer, Cocktails, Fried Rice","1,200"
4453,Kanti Sweets,1,No,3.8 out of 5,"Badam Milk, Chaat, Sev Puri, Gol Gappe",400
4454,Degchi Restaurant,0,No,3.7 out of 5,"Aloo Paratha, Highway Chicken, Amritsari Kulcha, Veg Platter, Roti, Garlic Naan",600
4455,Sri Devi Sagar,0,No,3.7 out of 5,Masala Dosa,300
4456,New Udupi Park Deluxe,0,No,3.6 out of 5,"Masala Dosa, Thali, Rice",400
4457,Corner House Ice Cream,1,No,4.4 out of 5,"Hot Chocolate Fudge, Chocolate Fudge Sundae, Fruit Salad",400
4458,Kanti Sweets,1,No,4.0 out of 5,"Rasgulla, Chaat, Rasmalai, Mysore Pak, Badam Milk, Sandwiches, Barfi",400
4459,Domino's Pizza,1,No,3.8 out of 5,Chocolava,400
4460,Swad,0,No,2.6 out of 5,"Roti, Paratha, Biryani, Thali",400
4461,Zamindars Biryani Durbar,1,Yes,4.3 out of 5,Hyderabadi Chicken Dum Biryani,600
4462,The Red Lantern,1,No,3.7 out of 5,Noodles,800
4463,The Filter Coffee,1,No,4.1 out of 5,"Filter Coffee, Vada, Masala Dosa, Pongal, Idli, Onion Uttapam, Kesari Bath",200
4464,Calcutta Victoria Chat House,1,No,2.8 out of 5,"Chaat, Paratha, Panipuri, Pav Bhaji, Dahipuri, Tea, Rolls",200
4465,Truffles,0,No,4.5 out of 5,"Burgers, Orange Mojito, Pasta, Ferrero Rocher Shake, Cheese Burger, Chaat, Chicken Paprika",900
4466,SS Bucket Biryani,0,No,4.0 out of 5,"Brinjal Curry, Basmati Rice, Mutton Biryani, Raita",600
4467,Nandhana Palace,0,Yes,4.2 out of 5,"Biryani, Andhra Thali, Bamboo Chicken, Mutton Fry, Chicken Kshatriya, Chicken Guntur, Andhra Chilli Chicken",800
4468,Onesta,1,Yes,4.4 out of 5,"Chicken Tikka Pizza, Ricotta Ravioli, Paneer Tikka Pizza, Pasta, Pepperoni, Barbeque Chicken, Mocktails",600
4469,Connie's Restaurant & Steakhouse,1,Yes,4.3 out of 5,"Steak, Garlic Bread, Burgers, Pasta, Chicken Wings, Salads, Mashed Potato","1,500"
4470,Raidan Restaurant,0,No,3.9 out of 5,"Shawarma, Rolls, Biryani, Chicken Malhooth, Salad",450
4471,Giselle Resto Cafe,1,Yes,4.2 out of 5,"Steak, Mocktails, Pancakes, Burgers, Wings, Paneer Pizza, Wood Fire Pizza",800
4472,OKI,1,Yes,4.5 out of 5,"Khau Suey, Ravioli, Pork Ribs, Basil Pannacotta, Tender Coconut Ice Cream, Mocktails, Sushi","1,200"
4473,Mahadii's,1,No,3.8 out of 5,"Sea Food, Andhra Meal, Mutton Biryani, Mutton Chops, Noodles, Brownie, Tandoori Chicken",600
4474,Thalassery Restaurant,1,No,4.0 out of 5,"Chicken Biryani, Fish Curry, Appam, Masala Prawn, Chicken Curry, Butter Chicken, Thali",800
4475,Arirang Korean Restaurant,0,Yes,4.0 out of 5,"Chicken Gimbap, Sushi, Beef Bibimbap, Bulgogi, Kimchi, Japchae, Sea Food","1,400"
4476,Sangam Mess,0,No,4.2 out of 5,"Beef Biryani, Beef Fry, Beef Curry, Roast Beef, Masala Prawn, Fish, Kerala Parotta",300
4477,Delicious Momos,0,No,4.1 out of 5,"Momos, Pork Momo, Noodles, Fried Rice, Chilli Chicken, Bbq Pork Ribs",450
4478,Abhiruchi,0,No,3.8 out of 5,Biryani,650
4479,The Mangalorean,1,Yes,4.1 out of 5,"Neer Dosa, Sea Food, Roast Pork, Fish, Murgh Ghee Roast, Biryani, Prawn Ghee Roast",550
4480,Kannur Restaurant,1,No,3.8 out of 5,Chicken Biryani,400
4481,Savoury Restaurant,1,No,3.7 out of 5,"Chicken Grill, Shawarma, Tandoori Chicken, Lassi, Noodles, Chicken Shawarama, Arabian Grape Juice",800
4482,Vanas,1,No,4.0 out of 5,"Sea Food, Prawn Ghee Roast, Neer Dosa, Fish Curry",550
4483,Churrascaria Brazil,0,No,4.1 out of 5,"Salads, Pineapple Grill, Caramel Custard, Caramel Pudding, Chicken Sausages","1,400"
4484,New Peking,1,No,4.0 out of 5,"Noodles, Seafood Soup, Hunan Chicken, Chicken Momo, Prawn, Vanilla Ice Cream, Steak",700
4485,Empire Restaurant,1,No,4.1 out of 5,"Ghee Rice, Chicken Grill, Alfam Chicken, Mutton Biryani, Fruit Salad, Peri Peri Chicken, Shawarma",750
4486,Al-Badia Restaurant,0,No,4.2 out of 5,"Baklava, Arabic Cuisine, Mutton Mandi, Shawarma Roll, Arabian Kebab",700
4487,Hyderabad Biryaani Palace,1,No,3.4 out of 5,"Hyderabadi Biryani, Chicken 65",750
4488,Yomama!!,1,Yes,3.6 out of 5,"Burgers, Spaghetti, Beef Burger, Cheesecake, Steak, Chicken Burger, Pasta",800
4489,Samovar,1,No,3.9 out of 5,"Fish Fry, Paratha, Kerala Parotta, Sea Food, Tea, Ghee Rice",600
4490,Regency Park,1,No,3.6 out of 5,"Rolls, Chicken Roll, Biryani, Panneer Butter Masala, Ghee Rice, Rumali Roti",700
4491,Have More,0,Yes,3.9 out of 5,"Lassi, Tandoori Chicken, Paratha, Punjabi Chicken, Aloo Tikki, Butter Chicken, Aam Panna",700
4492,Twins,0,No,3.8 out of 5,"Andhra Meal, Potato Wedges, Chicken Biryani, Chicken Satay, Dal Fry",500
4493,Rahhams,1,No,3.5 out of 5,"Mutton Biryani, Jeera Rice, Chicken Sholay, Chicken Biryani, Mutton Chops, Kheer, Phirni",700
4494,A2B - Adyar Ananda Bhavan,1,No,3.8 out of 5,"Idli, Masala Dosa, Vada, Filter Coffee, Pav Bhaji",600
4495,Panda Boy,1,No,3.9 out of 5,"Noodles, Chicken Wings, Chop Suey, Chilli Chicken, Honey Chilli Wings, Spring Chicken",550
4496,Sukh Sagar,1,No,2.7 out of 5,"Rava Masala Dosa, Chaat, Dal Tadka, Onion Dosa, Thali, Tomato Soup, Tea",450
4497,Al Amanah Cafe,1,No,4.4 out of 5,"Rolls, Falafel Roll, Jumbo Chicken Roll, Chicken Kudu Roll, Spicy Roll, Mutton Roll, Shawarma",300
4498,Kaapikada,0,No,3.8 out of 5,"Biryani, Appam, Chicken Curry",250
4499,Big Chicken,1,No,3.9 out of 5,"Chicken Burger, Popcorn Chicken, Burgers, Sandwich, Fries",400
4500,Huko Mukho Hangla,1,No,4.0 out of 5,"Fish, Mutton Kasha, Mutton Curry, Mutton Kosha, Mutton Thali, Doi Katla, Aalo Bhaja",400
4501,Burger King,1,No,3.9 out of 5,"Burgers, Fries, Mutton Whopper, Chicken Grill, Mango Shake, Chicken Whopper, Chicken Burger",600
4502,Chickpet Donne Biryani House,1,No,3.8 out of 5,"Mutton Biryani, Donne Biryani, Mutton Fry, Chicken Guntur, Chicken Biryani",250
4503,Just Shawarma,1,No,3.7 out of 5,"Malgoum Shawarma, French Fries",300
4504,KFC,1,No,3.1 out of 5,"Rice Bowl, Hot Wings, Popcorn Chicken, Crispy Chicken, Rice Bowls, Zinger Burger",450
4505,Eatapita,0,No,4.0 out of 5,"Shawarma, Falafel Pita, Veg Bonanza Pizza, Cheese Manakeesh, Arabic Cuisine, Cheese Steak Pizza",600
4506,Momoz,1,No,3.9 out of 5,"Momos, Chicken Momo, Chilli Pork, Chicken Thukpa, Noodles, Manchow Soup, Pork Momo",500
4507,Gold Line Breadz,0,No,3.7 out of 5,"Sandwiches, Sausage Roll, Garlic Bread",350
4508,Anu Momos Chinese Kitchen,1,No,3.7 out of 5,"Momos, Noodles",450
4509,Faasos,1,No,4.0 out of 5,"Chicken Wrap, Veggie Wrap, Aloo Paratha, Rolls, Sabudana Kheer, Khichda, Roti",500
4510,Jingo BBQ & Burgers,1,No,3.9 out of 5,Burgers,600
4511,JS Food Court,1,No,3.8 out of 5,"Shawarma, French Fries, Chicken Roll, Sandwich, Brosted Chicken, Falafel Roll, Chicken Fries",400
4512,Pathaan Sir,1,No,3.7 out of 5,"Rolls, French Fries, Paratha",300
4513,Le Roll Cafe,1,No,3.9 out of 5,"Shawarma, Rolls",300
4514,Chubalas Curry And Rice,1,No,4.0 out of 5,"Chicken Curry, Prawn Curry, Smoked Pork Thali, Momos, Pork Fry, Pork Vindaloo, Salad",550
4515,New Kairali Restaurant,1,No,3.7 out of 5,"Fish Curry, Appam, Paratha, Sea Food, Beef Biryani, Beef Curry, Beef Fry",400
4516,Sannidhi Grand,1,No,3.8 out of 5,"Coffee, Roti, Masala Dosa",300
4517,McDonald's,1,No,2.9 out of 5,"Burgers, Maharaja Burger, Mc Chicken, French Fries, Mc Veggie Burger",500
4518,Calicut Restaurant,1,No,3.6 out of 5,Tea,450
4519,AB's - Absolute Barbecues,0,Yes,4.7 out of 5,"Rabri, Sea Food, Mocktails, Paan Ice Cream, Fish, Mutton Seekh Kabab, Pan Shot Ice Cream","1,400"
4520,Sigree Global Grill,0,Yes,4.4 out of 5,"Pasta, Mutton Seekh, Fish, Pizza, Papdi Chaat, Prawn Malai Curry, Sea Food","1,400"
4521,Float Brewery,1,Yes,4.2 out of 5,"Pork Tonkatsu, Mocktails, Ginger Pork, Craft Beer, Falafel Burger, Cocktails, Wheat Beer","1,800"
4522,Brewklyn Microbrewery,1,Yes,4.4 out of 5,"Pizza, Craft Beer, Apple Crumble, Pork Chilli, Mojito, Chips, Stuffed Chicken Breast","2,000"
4523,Barbeque Nation,0,Yes,4.2 out of 5,"Mocktails, Fish, Gulab Jamun, Crispy Corn, Paan Kulfi, Mutton Seekh, Prawn","1,600"
4524,Truffles,0,No,4.5 out of 5,"Burgers, Orange Mojito, Pasta, Ferrero Rocher Shake, Coffee, American Cheese Burger, Chips",900
4525,Mainland China,1,Yes,4.5 out of 5,"Jumbo Prawns, Lunch Buffet, Veg Hakka Noodles, Crispy Corn, Fried Fish, Crackling Spinach, Brownie","1,100"
4526,Kapoor's Cafe,0,No,4.1 out of 5,"Lassi, Mushroom Masala, Chaach, Aloo Paratha, Chole Kulcha, Kadai Paneer, Chole Bhature",800
4527,Imperio Restaurant,1,Yes,4.4 out of 5,"Non Veg Thali, Faluda, Chicken Kolhapuri, Paneer Tikka, Chicken Keema, Biryani, Paratha",800
4528,Zamindar,1,Yes,4.6 out of 5,"Paneer 65, Dragon Chicken, Lassi, Avakai Chicken Biryani, Chicken Tikka Masala, Kodi Vepudu, Fry Prawns",800
4529,Cafe Azzure,1,Yes,4.2 out of 5,"Tex Mex Burger, Pizza, Chicken Stroganoff, Burgers, Fish, Pasta Alfredo, Mojito","1,200"
4530,Chulha Chauki Da Dhaba,1,No,4.1 out of 5,"Vegetable Biryani, Meetha Paan, Chana Masala, Sweet Lassi, Chicken Handi, Tandoori Aloo, Tandoori Chicken",800
4531,Hoppipola,1,Yes,4.4 out of 5,"Mocktails, Masala Pizza, Chicken Tikka, Salad, Cocktails, Wine, Chilli Chicken","1,200"
4532,Sri Durga Nellore Mess,1,No,3.4 out of 5,"Chicken Fry, Masala Prawn",350
4533,BYLI - Bet You Love It!,0,Yes,4.2 out of 5,"Pizza, Pasta, Sandwiches, Burgers, Nachos, Meatballs, Mocktails",800
4534,Ginger Greens,0,Yes,3.9 out of 5,"Chicken Tikka, Chilli Chicken, Butter Naan, Roti",750
4535,Maraheb Restaurant,1,No,4.2 out of 5,"Kunafa, Tea, Mutton Madfoon, Mutton Ribs, Lamb Ribs, Salad, Arabic Cuisine","1,000"
4536,Cafe Pink Pajamas,1,Yes,4.1 out of 5,"Pasta, Burgers, Salads, Fish, Veg Burger, Thin Crust Pizza, Bruschettas",700
4537,Suvarna Sree Food Paradise,1,No,3.9 out of 5,Biryani,400
4538,Teburu,1,No,4.4 out of 5,"Sushi, Mocktails, Maki Roll, Dynamite Roll, Scallops, Set Menu, Tempura Prawns",800
4539,Casa De Goa,1,Yes,4.2 out of 5,"Cocktails, Fish, Roast Pork, Appam, Mocktails, Stuffed Mushroom, Pizza","1,400"
4540,The Local,1,Yes,4.2 out of 5,"Beer, Cocktails, Prawn Ghee Roast, Chicken Nachos, Bbq Chicken Pizza, Appam, Chicken Steak","1,400"
4541,Tamarind - Tamarind Hospitality,1,No,3.9 out of 5,"Biryani, Lemon Chicken, Laccha Paratha, Kashmiri Pulao, Kulcha, Cocktails, Beer",750
4542,Wanderers,0,Yes,3.9 out of 5,"Pizza, Chicken Burger, Wheat Beer, Chips, Craft Beer, Stout, Peri Peri Fries","1,500"
4543,Sherlock's Pub,1,Yes,3.8 out of 5,"Chips, Cocktails, Veg Platter, Steak, Murgh Platter, Draught Beer, Long Island Iced Tea","1,300"
4544,Keto Kitchen,1,No,3.8 out of 5,"Paratha, Pizza, Chicken Curry, Mushroom Soup, Momos",700
4545,7 Plates,1,No,3.5 out of 5,"Rolls, Mutton Biryani, Tangdi Kabab, Butter Chicken, Kheer, Chicken Roll, Tandoori Chicken",600
4546,Sri Ruchi Restuarant,1,No,3.8 out of 5,"Mutton Biryani, Butter Chicken",450
4547,Spice Kitchen,1,Yes,3.8 out of 5,"Andhra Thali, Veg Thali, Ulavacharu Mutton Biryani, Chicken Biryani, Mutton Soup, Lassi, Kodi Pulao",750
4548,The Coorg Food Co.,1,Yes,4.3 out of 5,"Pandi Curry, Tender Coconut Pudding, Chocolate Mousse, Ghee Rice, Pork Curry, Bella Coffee, Chicken Curry",750
4549,Little Italy,1,Yes,4.2 out of 5,"Pizza, Pasta, Sangria, Bruschettas, Salads, Nachos, Tiramisu","1,500"
4550,FireHouse - Bar & Kitchen,1,Yes,3.9 out of 5,"Cocktails, Peri Peri Chicken, Meat Pizza, Mojito, Buffalo Wings, Beer, Burgers","1,500"
4551,Angaar Indian Grill & Restaurant,0,No,3.9 out of 5,"Shawarma, Mutton Biryani, Angara Kebab, Chicken Grill, Ghee Rice",600
4552,Thran,0,Yes,4.2 out of 5,"Ramen, Kimchi, Beef Bulgogi, Egg Soup, Salad, Clear Soup, Pork Bulgogi","1,300"
4553,The Filter Coffee,0,No,4.0 out of 5,"Filter Coffee, Masala Dosa, Vada",200
4554,Manasa Fishland,1,No,4.1 out of 5,"Sea Food, Prawn Ghee Roast, Fish Curry, Murgh Ghee Roast, Neer Dosa, Biryani, Chicken Thali",650
4555,Coffee Mechanics,1,No,4.3 out of 5,"Brownie, Fries, English Breakfast, Cinnamon Roll, Brewed Coffee, Wings, Cappuccino",700
4556,Aioli,0,Yes,4.2 out of 5,"Garlic Bread, Salad, Salads, Pita Bread, Lamb Chops, Sea Food, Chicken Wings","1,400"
4557,Chung Wah,1,Yes,4.0 out of 5,"Corn Soup, Chilli Garlic Noodles, Clear Soup, Veg Manchow Soup, Drums Of Heaven, Hunan Chicken, Momos",800
4558,Pecos Mojo,0,No,4.0 out of 5,"Beer, Beef Chilli, Chicken Dry Fry","1,100"
4559,Bottoms Up Resto Bar,0,No,3.9 out of 5,"Mocktails, Pizza, Cocktails, Beer, Pasta","1,200"
4560,Saffron Vegetarian Cuisine,1,Yes,4.0 out of 5,"Tikka, Biryani, Salad, Pasta, Masala Papad, Palak Paneer, Garlic Naan",700
4561,Global Flavors,1,Yes,3.5 out of 5,Pizza,"1,000"
4562,Marakachi,1,No,3.7 out of 5,Biryani,600
4563,Vera Italiano,1,No,4.1 out of 5,"Pizza, Pasta, Tiramisu, Cheesecake, Tomato Soup, Carbonara, Chicken Lasagne",600
4564,Hungry Vihaari,1,Yes,4.0 out of 5,"Pizza, Pasta, Peri Peri Chicken Burger, Garlic Bread, Crispy Corn",800
4565,The Chef's Kitchen,1,No,3.8 out of 5,"Tandoori Chicken, Pasta, Fish Curry, Honey Chilli Chicken, Noodles, Chicken Biryani, Kadai Paneer",800
4566,China Pearl,1,No,4.1 out of 5,"Chicken Manchow Soup, Hunan Chicken, Hakka Noodles, Momos, Mixed Fried Rice, Prawn, Spring Roll","1,100"
4567,Aqni,1,No,3.9 out of 5,"Kheer, Butter Chicken, Kebab Manchurian, Raita, Rolls, Chicken Rara, Brain Pepper Fry",650
4568,Artville Cafe,0,No,3.8 out of 5,"Sandwiches, Salad, Pasta, Beef Burger, Hot Chocolate, Chicken Schnitzel, Chicken Sandwich",700
4569,Wokanaka - The Casual Chinese Pitstop,1,Yes,4.1 out of 5,"Lemonade, Manchurian, Vegetable Noodles, French Fries, Veg Hakka Noodles",500
4570,Biriyani House,1,No,3.8 out of 5,"Biryani, Chicken Guntur",600
4571,Olive Garden,1,No,3.7 out of 5,"Shawarma, Al Faham Chicken, Noodles, Mutton Chops, Chicken Grill, Sweet Lassi, Biryani",700
4572,Fiddler's Green,0,Yes,3.9 out of 5,"Chicken Satay, Mocktails, Bruschettas","1,200"
4573,Vijaya Gardenia,1,No,3.5 out of 5,"Naan, Sea Food, Biryani, Lime Soda",500
4574,Countryside - The Taste of Chettinad,1,Yes,3.9 out of 5,"Poricha Kozhi, Fry Prawns, Brain Fry, Mutton Sukha, Paratha, Dum Biryani, Chicken Sukha",900
4575,Zyara,1,No,3.8 out of 5,"Shawarma, Chicken Grill, Tandoori Chicken, Chicken Curry, Naan, Butter Chicken, Kheer",650
4576,Patio - The Resto Cafe,1,No,3.7 out of 5,"Chicken Burger, Pasta, Hash Brown, Noodles",500
4577,The Grill House,1,Yes,4.0 out of 5,"Burgers, Steak, Buffalo Wings, Chicken Wings, Nachos, Chicken Sizzler, Grilled Basa","1,000"
4578,Agent Jack's Bar,0,Yes,4.0 out of 5,"Cocktails, Chicken Tikka Pizza, Chicken Popcorn, Chilli Pork, Sangria, Beer, Seafood Pizza","1,300"
4579,Chung's Chinese Corner,1,No,2.8 out of 5,"Chop Suey, Spring Roll, Sweet Corn Soup, Chowmein, Basil Chicken, Manchow Soup, Diced Chicken",600
4580,An Egg Story,0,No,4.0 out of 5,"Healthy Breakfast, Burgers, Florentine Omelette, Banana Crepes, English Breakfast, Sandwiches, Chicken Burger",600
4581,Yuan Restaurant,1,No,3.7 out of 5,"Momos, Manchow Soup, Dragon Noodles, Spring Roll, Schezwan Fried Rice, Triple Schezwan Rice, Garlic Butter Noodle",600
4582,Delicacy,1,Yes,4.1 out of 5,"Noodles, Momos, Honey Chilli Potatoes, Wonton, Bbq Pork, Pork Momo, Chilli Basil Chicken",500
4583,Khyma Biryani,1,No,4.0 out of 5,"Mutton Biryani, Lemon Tea, Chicken Dry Fry, Kerala Style Biryani, Malabari Biryani, Lemon Chicken, Biryani Combo",600
4584,4 Seasons Restaurant,1,Yes,3.7 out of 5,"Veg Pulao, Mutton Biryani, Badami Kheer, Veg Platter, Chicken Kebab, Tandoori Chicken, Stuffed Capsicum","1,000"
4585,Taste Of Nawaabs,1,No,3.6 out of 5,"Chicken Tikka, Garlic Naan, Mutton Rara, Roti",600
4586,Donne Biriyani Mane,1,No,3.6 out of 5,Mutton Biryani,400
4587,2 Statez,1,No,3.7 out of 5,"Fish Curry, Buttermilk, Appam, Neer Dosa, Chicken Stew, Chicken Curry, Egg Roast",600
4588,Hi Seoul,1,No,4.1 out of 5,"Coffee, Momos, Kimchi, Bbq Pork, Hot Pot, Wine, Bibimbap",800
4589,Mayonaise,1,No,3.9 out of 5,"Chicken Fries, Burgers, Thin Crust Pizza, Zinger Burger",500
4590,Chichaba's Taj,1,No,3.8 out of 5,"Mutton Biryani, Butter Chicken, Ghee Rice, Dal Tadka, Naan, Paya Soup, Bheja Fry",600
4591,Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,No,4.0 out of 5,"Club Sandwich, Pizza, Burgers, Basil Chicken, Pasta, Sandwiches, Mojito",900
4592,The Original Bistro,0,No,4.1 out of 5,"Gnocchi, Pasta, Veg Lasagna, Burgers, Grilled Steak, Pizza, Sandwiches",600
4593,Fragrant Kitchen,0,No,3.7 out of 5,"Burgers, Pasta, Hot Dog, Mashed Potato, Plum Cake, Sunday Brunch, Cheesecake",700
4594,The Bawarchi,1,No,2.5 out of 5,"Vegetable Biryani, Hyderabadi Biryani, Paneer Tikka, Basmati Rice, Raita, Chicken Biryani, Dum Biryani","1,050"
4595,Aroma Spice,1,Yes,3.9 out of 5,"Sea Food, Cocktails, Fish Curry, Fish Thali",800
4596,Knowhere,0,No,3.9 out of 5,Friendly Staff,"1,300"
4597,Food Magic Restaurant,1,No,3.8 out of 5,"Shawarma, Chicken Shawarama, Kerala Parotta, Lemon Tea, Fish, Ghee Rice, Appam",400
4598,Brew Bakes Cafe,0,No,3.7 out of 5,"Coffee, Maggi",500
4599,Nandhini,1,No,3.7 out of 5,Mutton Biryani,600
4600,Adukkala Restaurant,1,No,2.9 out of 5,"Tea, Shawarma, Egg Roast, Biryani, Appam",600
4601,Sizzling Szechuan,1,No,3.9 out of 5,"Momos, Manchow Soup, Fish, Clear Soup, Chop Suey, Hakka Noodles",600
4602,Mani's Dum Biryani,1,No,3.5 out of 5,"Raita, Chicken Biryani",750
4603,Inchara Restaurant,1,No,3.5 out of 5,"Biryani, Fish",500
4604,New Salem Spices,0,No,3.5 out of 5,"Chicken Biryani, Chicken Thali",600
4605,Alter Ego D'Deli,1,No,3.8 out of 5,"Pizza, Burgers, Chicken Pasta, Minestrone Soup, French Onion Soup, Hot Dog, Coffee",650
4606,The Sky Lounge - Tamarind Hospitality,0,No,3.7 out of 5,"Momos, Beer, Biryani, Cocktails","1,200"
4607,Hotel Little Imperial,1,No,3.7 out of 5,"Ghee Rice, Chicken Grill, Butter Chicken",500
4608,Amigos Kitchen,1,No,3.7 out of 5,"Murgh Patiala, Shawarma, Chicken Grill",400
4609,Noodles,1,No,3.8 out of 5,"Hakka Noodles, Pork Momo, Veg Momos, Chicken Manchurian, Chicken Momo, Chop Suey, Chilli Chicken",500
4610,The Sanctuary,0,No,3.9 out of 5,"Coffee, Chicken Burger, Burgers, Brownie, Carrot Cake, Chocolate Cake, Cheesecake",450
4611,Cafe Coffee Day,1,No,3.6 out of 5,"Coffee, Garlic Bread",650
4612,Shahi Hyderabadi Dum Biryani,1,No,3.1 out of 5,"Chicken Biryani, Mutton Biryani, Chicken Manchurian, Shahi Biryani",500
4613,Hongkong Noodles,1,No,3.8 out of 5,"Noodles, Momos",750
4614,The Urban Roof,1,No,3.6 out of 5,"Chicken Burger, Pasta, Garlic Bread",800
4615,Degchi Restaurant,0,No,3.7 out of 5,"Aloo Paratha, Highway Chicken, Amritsari Kulcha, Veg Platter, Roti, Garlic Naan",600
4616,Alibaba Cafe and Restaurant,0,No,2.9 out of 5,"Biryani, Tea, Falafel, Hookah",700
4617,Cafe China,1,No,3.7 out of 5,Noodles,500
4618,Coffee@Arens,1,No,3.8 out of 5,"Filter Coffee, Cappuccino, Brewed Coffee",550
4619,Paradox Rest-O-Cafe,1,No,3.7 out of 5,"Sandwiches, Beer, Sandwich, Lasagne, Minotaur Steak, Dorai Chicken, Lemonade",600
4620,Taste Of The Nation,0,No,3.0 out of 5,"Paneer Pasanda, Chicken Soup, Tandoori Chicken",650
4621,OvenTreats - Patisserie.Bistro,0,No,4.0 out of 5,"Burgers, Chicken Steak, Cocktails, Beef Hash, Pork Ribs, French Toast","1,000"
4622,Chaai Resto,1,No,3.9 out of 5,"Ginger Tea, Poha, Ginger Chai, Paratha, Chaai, Sandwiches, Elaichi Tea",350
4623,Ammi's Biryani,1,No,2.7 out of 5,"Ambur Biryani, Vegetable Biryani",500
4624,Pizza Hut,1,No,2.7 out of 5,"Garlic Bread, Kurkure Pizza, Pasta, Chicken Wings, Masala Lemonade, Double Trouble, Veggie Pizza",750
4625,The Chocolate Heaven,1,No,4.1 out of 5,"Waffles, Hot Chocolate, Brownie, Pizza, Coffee, Pancakes, Pasta",700
4626,Mavalli Tiffin Room (MTR),0,No,4.1 out of 5,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Thali, Badam Halwa, Vada",250
4627,K.G.N Kabbab Corner,0,No,4.0 out of 5,"Mutton Biryani, Rolls, Chicken Roll",500
4628,Donne Biriyani Mane,0,No,3.8 out of 5,"Pepper Chicken, Donne Biryani, Chicken Biryani, Chicken Kebab",300
4629,Kesar Sweet Shop And Fast Food,0,No,3.9 out of 5,"Chole Bhature, Chaat, Jalebi, Kulfi, Rasgulla",500
4630,Paratha Singh,1,No,4.0 out of 5,"Chaat, Pav Bhaji, Raj Kachori, Buttermilk, Ajwaini Paratha, Tawa Pulav, Sev Puri",350
4631,Kanthari,1,No,3.9 out of 5,"Fish Fry, Chicken Curry, Duck Roast, Kerala Style Biryani",400
4632,Pooja Dosa Camp,0,No,4.0 out of 5,"Podi Dosa, Vada, Pongal, Ghee Dosa, Masala Dosa, Coffee",200
4633,Despiwich Dragon's Kitchen,1,No,3.8 out of 5,"Sandwiches, Sandwich, Oreo Shake, French Fries",250
4634,Domino's Pizza,1,No,3.5 out of 5,"Pasta Italiano, Pizza Burger, Stuffed Garlic Bread",400
4635,Chaat Street,1,No,4.0 out of 5,"Chaat, Pav Bhaji, Paratha, Lassi, Panipuri, Dahipuri, Bhel Puri",250
4636,Donne Biryani Kuteera,1,No,3.8 out of 5,"Donne Biryani, Pepper Chicken",200
4637,Matru Sagar,1,No,4.0 out of 5,"Vada, Butter Masala Dosa, Coffee",300
4638,Leon Grill,1,No,4.2 out of 5,"Burgers, Fries, Jumbo Royale Burger, Salads, Peri Peri Chicken Salad, Potato Wedges, Rolls",500
4639,Kenny's Restaurant,1,No,3.7 out of 5,"Noodles, Chicken Lollipop",450
4640,Oye Hoye,1,No,3.8 out of 5,"Paratha, Kheer, Thali, Roti, Rajma, Paneer Chatpata",300
4641,Upsouth,1,No,3.8 out of 5,"Filter Coffee, Sandwich, Bonda, Vada, Masala Dosa, Salad, Aloo Curry",300
4642,Subway,1,No,4.0 out of 5,"Sandwich, Salads, Sandwiches, Salad, Chicken Tikka",500
4643,Srinidhi Upachar,0,No,3.6 out of 5,"Coffee, Vada, Masala Dosa, Gulab Jamun",200
